test_id,scenario,model,WASA97,WeightedAccuracy,AUROC
9618981,stationary,naive,0.8444728348574504,0.6437062,0.3181818181818182
9618981,stationary,smartmap,0.9208041958041957,0.69484264,0.42045454545454547
9618981,stationary,lr,0.716312533620226,0.656845,0.3409090909090909
9618981,hybrid,naive,0.8444728348574504,0.6437062,0.3181818181818182
9618981,hybrid,smartmap,0.8654384077461,0.77497977,0.5795454545454546
9618981,hybrid,lr,0.716312533620226,0.656845,0.3409090909090909
1066528,stationary,naive,0.745133372560557,0.5528097,0.13636363636363635
1066528,stationary,smartmap,0.8293860939492006,0.57174915,0.17424242424242425
1066528,stationary,lr,0.6525877709130137,0.5741763,0.17424242424242425
1066528,hybrid,naive,0.745133372560557,0.5528097,0.13636363636363635
1066528,hybrid,smartmap,0.6723055800725704,0.55144906,0.12878787878787878
1066528,hybrid,lr,0.6525877709130137,0.5741763,0.17424242424242425
1360686,stationary,naive,0.9747735557273832,0.8882208,0.8068181818181818
1360686,stationary,smartmap,0.9449491881144372,0.8720314,0.8181818181818182
1360686,stationary,lr,0.6848834640450678,0.5945888,0.2159090909090909
1360686,hybrid,naive,0.9747735557273832,0.8882208,0.8068181818181818
1360686,hybrid,smartmap,0.9397989616701646,0.8900779,0.8409090909090909
1360686,hybrid,lr,0.6848834640450678,0.5945888,0.2159090909090909
1449548,stationary,naive,0.8776151238896681,0.6591281,0.34782608695652173
1449548,stationary,smartmap,0.8791272206638616,0.73226386,0.5760869565217391
1449548,stationary,lr,0.646286231884058,0.60612434,0.2391304347826087
1449548,hybrid,naive,0.8776151238896681,0.6591281,0.34782608695652173
1449548,hybrid,smartmap,0.9035618279569892,0.74833447,0.5652173913043478
1449548,hybrid,lr,0.646286231884058,0.60612434,0.2391304347826087
1455390,stationary,naive,0.7198132183908046,0.6594825,0.35
1455390,stationary,smartmap,0.7410488505747126,0.7157326,0.4625
1455390,stationary,lr,0.6772701149425288,0.5782324,0.1875
1455390,hybrid,naive,0.7198132183908046,0.6594825,0.35
1455390,hybrid,smartmap,0.7159770114942527,0.49999973,1.0
1455390,hybrid,lr,0.6772701149425288,0.5782324,0.1875
1818471,stationary,naive,0.9806962025316455,0.93945134,0.9
1818471,stationary,smartmap,0.9680379746835444,0.9347045,0.9
1818471,stationary,lr,0.9930379746835443,0.9878692,1.0
1818471,hybrid,naive,0.9806962025316455,0.93945134,0.9
1818471,hybrid,smartmap,0.9974683544303797,0.99578047,1.0
1818471,hybrid,lr,0.9930379746835443,0.9878692,1.0
2598705,stationary,naive,0.8693050193050194,0.698745,0.42857142857142855
2598705,stationary,smartmap,0.962934362934363,0.8112934,0.6428571428571429
2598705,stationary,lr,0.9740347490347491,0.8092663,0.6428571428571429
2598705,hybrid,naive,0.8693050193050194,0.698745,0.42857142857142855
2598705,hybrid,smartmap,0.9232625482625483,0.66505766,0.35714285714285715
2598705,hybrid,lr,0.9740347490347491,0.8092663,0.6428571428571429
2638030,stationary,naive,0.9240108401084011,0.816541,0.6585365853658537
2638030,stationary,smartmap,0.9492781473269278,0.885898,0.8130081300813008
2638030,stationary,lr,0.7405173688100518,0.68118227,0.3902439024390244
2638030,hybrid,naive,0.9240108401084011,0.816541,0.6585365853658537
2638030,hybrid,smartmap,0.9248780487804878,0.8387288,0.7804878048780488
2638030,hybrid,lr,0.7405173688100518,0.68118227,0.3902439024390244
3997827,stationary,naive,0.9257696447793327,0.88600636,0.8
3997827,stationary,smartmap,0.9546178686759957,0.9201721,0.92
3997827,stationary,lr,0.738815931108719,0.6919266,0.4
3997827,hybrid,naive,0.9257696447793327,0.88600636,0.8
3997827,hybrid,smartmap,0.9822389666307858,0.9822389,1.0
3997827,hybrid,lr,0.738815931108719,0.6919266,0.4
4018081,stationary,naive,0.9673214613548742,0.895759,0.8153846153846154
4018081,stationary,smartmap,0.9340554433633192,0.8921791,0.8153846153846154
4018081,stationary,lr,0.789205067009363,0.6691021,0.36923076923076925
4018081,hybrid,naive,0.9673214613548742,0.895759,0.8153846153846154
4018081,hybrid,smartmap,0.9378373416559574,0.8945657,0.8153846153846154
4018081,hybrid,lr,0.789205067009363,0.6691021,0.36923076923076925
4314139,stationary,naive,0.7503388611906698,0.70200276,0.43434343434343436
4314139,stationary,smartmap,0.8555331612507808,0.7676592,0.5656565656565656
4314139,stationary,lr,0.7788208809212309,0.6470306,0.32323232323232326
4314139,hybrid,naive,0.7503388611906698,0.70200276,0.43434343434343436
4314139,hybrid,smartmap,0.7981094492179672,0.7006355,0.4444444444444444
4314139,hybrid,lr,0.7788208809212309,0.6470306,0.32323232323232326
4426783,stationary,naive,0.9308801161504424,0.8304755,0.6875
4426783,stationary,smartmap,0.935546875,0.8366288,0.703125
4426783,stationary,lr,0.8116357853982301,0.7211007,0.46875
4426783,hybrid,naive,0.9308801161504424,0.8304755,0.6875
