idno,experiment_hash,epoch_seconds,fold,logits_threshold,wake_acc,sleep_acc,max_X,min_X,mean_X,median_X,std_X
S018,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,12,0.36197457,0.13523989105384454,0.9272108843537415,1.0,0.0,0.3123467846564154,0.3164594164808093,0.18813400689303575
S020,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,13,0.36204073,0.1381310418904404,0.953242147922999,1.0,0.0,0.23149589926968023,0.22848786518648612,0.1892064868704846
S021,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,14,0.36176807,0.098490294751977,0.9508566978193146,1.0,0.0,0.30190250483834286,0.3131039259880522,0.1873534744806923
S023,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,15,0.36223307,0.12106164383561643,0.9547123015873016,1.0,0.0,0.300068612243553,0.2975054611241512,0.18988268981674894
S024,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,16,0.36180258,0.05564924114671164,0.9523339907955293,1.0,0.0,0.339153346470714,0.33477451279770504,0.19972533342277202
S025,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,17,0.36212462,0.22196188691034052,0.951063829787234,1.0,0.0,0.25661430154557097,0.2562132456886405,0.19866396591498467
S027,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,18,0.36189094,0.07837717342844405,0.9419753086419753,1.0,0.0,0.32801949458233876,0.32617947260564895,0.1907205826435264
S028,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,19,0.3620641,0.15974186063374665,0.9628819824040814,1.0,0.0,0.3027624889669836,0.3013041578350124,0.19862561453807354
S029,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,20,0.36193293,0.09073442826154322,0.9564613526570048,1.0,0.0,0.31578888654820214,0.3114476706626995,0.19266596163262786
S031,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,21,0.36189723,0.12311038607939097,0.9704683889939089,1.0,0.0,0.29356662374668846,0.29851592772001817,0.17832631153878203
S032,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,22,0.36179984,0.07893027284538762,0.9361652739090065,1.0,0.0,0.30907863587878875,0.3227838380975828,0.18195290736749786
S033,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,23,0.3617798,0.10618785597065354,0.9646884272997033,1.0,0.0,0.3135207108683056,0.32871830808402397,0.19048029639235528
S034,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,24,0.36208594,0.18333775537277794,0.9533870967741935,1.0,0.0,0.200349997535055,0.14873546560523387,0.21619287751739344
S035,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,25,0.36227626,0.30302552789158527,0.9616692426584235,1.0,0.0,0.3033487316805468,0.30711907257865684,0.1972526403257112
S039,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,26,0.36200655,0.15412364721980346,0.9454943132108486,1.0,0.0,0.2842575307634696,0.28590249231055537,0.19051656876841122
S042,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,27,0.36178446,0.0891573794396417,0.9707207207207207,1.0,0.0,0.2760284456683183,0.2737889055010037,0.19473447592396534
S043,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,28,0.36178333,0.07431703064020592,0.9506646971935008,1.0,0.0,0.29469983817773626,0.2994598272091276,0.19205600672119266
S044,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,29,0.3616994,0.07309006724727153,0.9495183044315992,1.0,0.0,0.29604782559551346,0.3175775101039718,0.18790260521282212
