idno,experiment_hash,fold,logits_threshold,wake_acc,sleep_acc,max_X,min_X,mean_X,median_X,std_X
S003,fac828acf4ba385e7c04ef52003c2aaa8c133448,0,-0.2554863,0.6214790390956194,0.9497435897435897,0.6624743896614566,-6.0,-4.0425816793657905,-4.070669791650417,1.2972435411697756
S004,fac828acf4ba385e7c04ef52003c2aaa8c133448,1,0.26012868,0.46684668466846685,0.9496598639455782,0.47207591353042333,-6.0,-3.9019752022202465,-3.9104705620036384,1.3978837216740314
S005,fac828acf4ba385e7c04ef52003c2aaa8c133448,2,-0.25392944,0.7385105669238511,0.9520833333333333,0.2706654991455932,-6.0,-4.0558706264156035,-4.024293081293436,1.3008222779729532
S006,fac828acf4ba385e7c04ef52003c2aaa8c133448,3,0.7064087,0.5339192708333333,0.9499433106575964,0.505204327291067,-6.0,-4.0393632499065655,-4.10147745086827,1.3054800325671643
S007,fac828acf4ba385e7c04ef52003c2aaa8c133448,4,-0.30626485,0.3746637835557196,0.8090986394557823,0.30299572977116196,-6.0,-4.1860970730285745,-4.155834783490748,1.1621764995660886
S010,fac828acf4ba385e7c04ef52003c2aaa8c133448,5,-0.18125752,0.533003420420639,0.9495820136040293,0.4000535216112521,-6.0,-3.9029982174531024,-3.901702010211021,1.2294972689659371
S011,fac828acf4ba385e7c04ef52003c2aaa8c133448,6,0.31441623,0.42896998102890305,0.9354139575205895,0.14487338561409827,-6.0,-4.102363802551589,-4.012663782307739,1.0275579616568737
S012,fac828acf4ba385e7c04ef52003c2aaa8c133448,7,0.2008928,0.3629703886489821,0.9508785942492013,0.36890467928705356,-6.0,-4.05316383250746,-4.018714516040696,1.120356858412411
S013,fac828acf4ba385e7c04ef52003c2aaa8c133448,8,-0.20485374,0.5058506782644714,0.9392968402314197,0.24693210434846696,-6.0,-4.135684542885337,-4.0978534979969234,1.124750073675374
S015,fac828acf4ba385e7c04ef52003c2aaa8c133448,9,1.435713,0.78273007316134,0.9499380859720502,0.5252165119817802,-6.0,-3.958117449354708,-4.011666445563746,1.2817273439523573
S018,fac828acf4ba385e7c04ef52003c2aaa8c133448,10,0.24523276,0.6434108527131783,0.9500226757369614,0.3950636053104156,-6.0,-3.9960021987372,-3.969604766763732,1.2070230764088479
S020,fac828acf4ba385e7c04ef52003c2aaa8c133448,11,0.2992944,0.40827067669172934,0.9467071935157042,0.2091268887481169,-6.0,-4.56071252342696,-4.579410312605421,1.17634637013114
S023,fac828acf4ba385e7c04ef52003c2aaa8c133448,12,0.14231,0.5290239726027397,0.9499007936507936,0.5805658513718015,-6.0,-4.023335913569332,-4.0402168991358804,1.2508176268966626
S024,fac828acf4ba385e7c04ef52003c2aaa8c133448,13,0.278831,0.6826869027543564,0.9537804076265615,0.26303615195614755,-6.0,-3.871619674218637,-3.8990929309436986,1.2533725187507299
S025,fac828acf4ba385e7c04ef52003c2aaa8c133448,14,0.4094931,0.581458919087785,0.9529732678668849,0.5155881831349626,-6.0,-4.326985944312825,-4.32959864416099,1.295197004017985
S027,fac828acf4ba385e7c04ef52003c2aaa8c133448,15,0.20597921,0.360410164957646,0.9443415637860082,0.5548049935264097,-6.0,-3.8471027543918215,-3.8591750751254734,1.2517476020085492
S028,fac828acf4ba385e7c04ef52003c2aaa8c133448,16,0.12278268,0.6235950982524835,0.9211827789057213,0.5172705925180244,-6.0,-4.015575762874654,-4.025114051703299,1.3018126713306426
S029,fac828acf4ba385e7c04ef52003c2aaa8c133448,17,0.1395899,0.4805082119615742,0.9501811594202898,0.3513304412337241,-6.0,-3.980715240044045,-4.0084508856795065,1.2319150600892852
S031,fac828acf4ba385e7c04ef52003c2aaa8c133448,18,-0.18688989,0.5830342577487765,0.9500525099768956,0.42723657219960853,-6.0,-4.112420049724988,-4.080595600773512,1.1466013508070485
S032,fac828acf4ba385e7c04ef52003c2aaa8c133448,19,0.33219293,0.35253356431355565,0.9448003714020428,0.703762038951586,-6.0,-3.9259169638419933,-3.8339441131959875,1.2209902906401593
